medcode,readcode,readterm,cat
70925,E11y100,Atypical manic disorder,Psychoses
70928,B022.00,Malignant neoplasm of sublingual gland,Solid tumour or leukaemia
70942,B510400,Malignant neoplasm of hypothalamus,Solid tumour or leukaemia
70947,32K4.00,ECG: Q-T interval shortened,Cardiac arrythmia
70950,9OK7.00,Obesity monitoring verbal inv.,Obesity
70957,F11x400,Cerebral degeneration due to neoplastic disease,Other neurological disorders
70966,A916100,Secondary syphilitic hepatitis,Liver disease
70988,B337000,Malignant neoplasm of skin of hip,Solid tumour or leukaemia
71004,Gyu5A00,[X]Aortic valve disorders in diseases classified elsewhere,Valvular disease
71009,9Ov0.00,Depression monitoring first letter,Depression
71031,B600100,"Reticulosarcoma of lymph nodes of head, face and neck",Lymphoma
71033,D313200,Thrombocytopenic purpura with absent radius,Coagulopathy
71044,B828900,Melanoma in situ of back,Solid tumour or leukaemia
71046,G41yz00,Other chronic pulmonary heart disease NOS,Pulmonary circulation disorders
71060,E253000,"Nondependent hallucinogen abuse, unspecified",Drug abuse
71086,E245100,"Hallucinogen dependence, continuous",Drug abuse
71106,Dyu3000,[X]Other specified coagulation defects,Coagulopathy
71114,A98yy11,Gonococcal hepatitis,Liver disease
71117,BBg3.00,"[M]Malignant lymphoma, undifferentiated cell type NOS",Lymphoma
71125,Q206y00,Other specified brachial plexus palsy due to birth trauma,Paralysis
71136,B323100,Malignant melanoma of chin,Solid tumour or leukaemia
71139,B51y.00,Malignant neoplasm of other parts of brain,Solid tumour or leukaemia
71141,7A46300,Replace aneurysm pop art by pop/pop a anast c vein graft NEC,Peripheral vascular disease
71142,B613000,"Hodgkin's, lymphocytic-histiocytic predominance unspec site",Lymphoma
71147,B003.00,"Malignant neoplasm of lower lip, inner aspect",Solid tumour or leukaemia
71150,J12y000,Unspecified duodenal ulcer without mention of complication,Peptic ulcer disease
71174,K0A1.00,Rapidly progressive nephritic syndrome,Renal disease
71204,B200000,Malignant neoplasm of cartilage of nose,Solid tumour or leukaemia
71235,8Hk0.00,Referred to heart failure education group,Congestive heart failure
71238,B601100,"Lymphosarcoma of lymph nodes of head, face and neck",Lymphoma
71250,Eu21.17,[X]Pseudopsychopathic schizophrenia,Psychoses
71262,B62y600,Malignant lymphoma NOS of intrapelvic lymph nodes,Lymphoma
71271,9Ot..00,Chronic kidney disease monitoring administration,Renal disease
71274,G677400,Occlusion+stenosis of multiple and bilat cerebral arteries,Other neurological disorders
71301,BBQA100,"[M]Struma ovarii, malignant",Solid tumour or leukaemia
71304,B602z00,Burkitt's lymphoma NOS,Lymphoma
71400,F15y.00,Other anterior horn cell disease,Other neurological disorders
71414,7A35200,Percutaneous transluminal angioplasty inf mesenteric art NEC,Peripheral vascular disease
71450,A788X00,HIV disease resulting/unspcf infectious+parasitic disease,HIV/AIDS
71497,BB5W100,[M]Oxyphilic adenocarcinoma,Solid tumour or leukaemia
71525,P117400,Sacral spina bifida without hydrocephalus - open,Other neurological disorders
71572,283Z.00,O/E - paralysis NOS,Paralysis
71584,B507.00,Malignant neoplasm of lacrimal duct,Solid tumour or leukaemia
71585,G63z.00,Precerebral artery occlusion NOS,Other neurological disorders
71609,B62z500,Unspec malig neop lymphoid/histiocytic nodes inguinal/leg,Lymphoma
71619,BBgT.00,"[M]Malignant lymphoma, large cell, noncleaved, diffuse",Lymphoma
71625,B601000,Lymphosarcoma of unspecified site,Lymphoma
71627,BB61200,[M]Sweat gland adenocarcinoma,Solid tumour or leukaemia
71651,F410400,New partial retinal detachment with retinal dialysis,Renal disease
71652,BBgP.00,"[M]Malignant lymphoma, mixed small and large cell, diffuse",Lymphoma
71655,B827000,Carcinoma in situ of skin of hip,Solid tumour or leukaemia
71672,4M23.00,Lymphoma stage IV,Lymphoma
71709,Kyu0900,"[X]Unsp nephrit synd, diff mesang prolif glomerulonephritis",Renal disease
71719,F257.00,Kojevnikov's epilepsy,Other neurological disorders
71763,Nyu4500,[X]Other forms of systemic sclerosis,Rheumatoid arthritis and collagen diseases
71784,N040J00,Rheumatoid arthritis of other tarsal joint,Rheumatoid arthritis and collagen diseases
71785,J631000,Hepatitis in coxsackie virus,Liver disease
71801,Fyu5900,"[X]Status epilepticus, unspecified",Other neurological disorders
71810,B304.00,Malignant neoplasm of scapula and long bones of upper arm,Solid tumour or leukaemia
71819,E14y.00,Other childhood psychoses,Psychoses
71853,H422.00,Complicated silicosis,Chronic pulmonary disease
71860,G742700,Embolism and thrombosis of the dorsalis pedis artery,Peripheral vascular disease
71869,BBf2.00,[M]Alveolar soft part sarcoma,Solid tumour or leukaemia
71895,BB56.00,[M]Superficial spreading adenocarcinoma,Solid tumour or leukaemia
71904,J12y400,Unspecified duodenal ulcer with obstruction,Peptic ulcer disease
71911,Q206z00,Brachial plexus palsy due to birth trauma NOS,Paralysis
71946,B201300,Malignant neoplasm of mastoid air cells,Solid tumour or leukaemia
71994,C333z00,Macroglobulinaemia NOS,Lymphoma
72000,PB62z00,Congenital cystic liver disease NOS,Liver disease
72018,P118100,Cervical spina bifida without hydrocephalus - closed,Other neurological disorders
72026,E115500,"Bipolar affect disord, now depressed, part/unspec remission",Depression
72032,B828200,Melanoma in situ of ear and external auricular canal,Solid tumour or leukaemia
72062,G723400,Aneurysm of posterior tibial artery,Peripheral vascular disease
72127,B484.00,Malignant neoplasm of epididymis,Solid tumour or leukaemia
72174,B4A4.00,Malignant neoplasm of paraurethral glands,Solid tumour or leukaemia
72192,BB5Xz00,[M]Clear cell adenoma or adenocarcinoma NOS,Solid tumour or leukaemia
72196,BBgG.00,"[M]Malignant lymphoma, lymphocytic, poorly different NOS",Lymphoma
72197,B67y000,Lymphosarcoma cell leukaemia,Lymphoma
72212,B308200,Malignant neoplasm of calcaneum,Solid tumour or leukaemia
72224,B1z1100,Fibrosarcoma of spleen,Solid tumour or leukaemia
72241,BBgH.00,[M]Prolymphocytic lymphosarcoma,Lymphoma
72277,BB5V700,[M]Basophil carcinoma,Solid tumour or leukaemia
72288,M210z00,Circumscribed scleroderma NOS,Rheumatoid arthritis and collagen diseases
72303,K01w000,Finnish nephrosis syndrome,Renal disease
72306,G140500,"Tricuspid stenosis and insufficiency, cause unspecified",Valvular disease
72320,C109A00,Non-insulin dependent diabetes mellitus with mononeuropathy,Diabetes with end-organ damage
72333,8HME.00,Listed for Diabetology admissn,Diabetes (uncomplicated)
72336,Z919100,Priming haemodialysis lines,Renal disease
72342,E249z00,"Combined drug dependence, excluding opioid, NOS",Drug abuse
72345,C102z00,Diabetes mellitus NOS with hyperosmolar coma,Diabetes (uncomplicated)
72384,9Of4.00,Epilepsy monitoring telephone invite,Other neurological disorders
72386,9Or4.00,Heart failure monitoring second letter,Congestive heart failure
72417,7912z00,Plastic repair of tricuspid valve NOS,Valvular disease
72433,BBh0.00,[M]Reticulosarcoma NOS,Lymphoma
72443,BBZ2.00,"[M]Odontogenic tumour, malignant",Solid tumour or leukaemia
72445,B161000,Malignant neoplasm of cystic duct,Solid tumour or leukaemia
72448,7A41200,Emerg bypass iliac artery by femoral/femoral art anast NEC,Peripheral vascular disease
72464,B305.12,Malignant neoplasm of metacarpal bones,Solid tumour or leukaemia
72478,Kyu1400,[X]Nephropathy induced by other drugs+biological substances,Renal disease
72522,B313200,Malignant neoplasm of great vessels,Solid tumour or leukaemia
72523,7912y00,Other specified plastic repair of tricuspid valve,Valvular disease
72560,7936C00,Implantation of complex 1 wire intravenous cardiac pacemaker,Cardiac arrythmia
72564,E247200,"Other specified drug dependence, episodic",Drug abuse
72613,G140z00,Rheumatic tricuspid valve disease NOS,Valvular disease
72615,Cyu5.00,[X]Malnutrition,Weight loss
72621,Kyu1100,[X]Other and unspecified hydronephrosis,Renal disease
72653,G565300,Other bilateral bundle branch block,Cardiac arrythmia
72663,9HC3.00,Substance misuse clinical management plan reviewed,Drug abuse
72668,G210100,Malignant hypertensive heart disease with CCF,Hypertension with end-organ damage
72695,ByuFA00,[X]Carcinoma in situ of other parts of cervix,Solid tumour or leukaemia
72702,C10E812,Insulin dependent diabetes mellitus - poor control,Diabetes (uncomplicated)
72713,B562100,Secondary and unspec malig neop superficial mesenteric LN,Metastatic cancer
72714,B621500,Mycosis fungoides of lymph nodes of inguinal region and leg,Lymphoma
72723,B430000,Malignant neoplasm of cornu of corpus uteri,Solid tumour or leukaemia
72725,B62y200,Malignant lymphoma NOS of intrathoracic lymph nodes,Lymphoma
72727,C363y00,Other specified alkalosis,Fluid and electrolyte disorders
72761,7914000,Allograft replacement of valve of heart NEC,Valvular disease
72778,C36z.00,"Disorders of fluid, electrolyte and acid-base balance NEC",Fluid and electrolyte disorders
72803,B565z00,Secondary and unspec malig neop intrapelvic LN NOS,Metastatic cancer
72879,Fyu2900,"[X]Secondary parkinsonism, unspecified",Other neurological disorders
72888,G567200,Pre-excitation atrioventricular conduction,Cardiac arrythmia
72895,D011011,Imerslund - Grasbeck syndrome,Deficiency anaemia
72928,P103400,Sacral spina bifida with hydrocephalus - closed,Other neurological disorders
72936,G02z.00,Rheumatic chorea NOS,Other neurological disorders
72947,B802100,Carcinoma in situ of fundus of stomach,Solid tumour or leukaemia
72962,9Ot1.00,Chronic kidney disease monitoring second letter,Renal disease
72964,9Ot2.00,Chronic kidney disease monitoring third letter,Renal disease
72965,9Or3.00,Heart failure monitoring first letter,Congestive heart failure
72966,9Ov1.00,Depression monitoring second letter,Depression
73026,K0A3500,Chronic neph syn difus mesangiocapillary glomerulonephritis,Renal disease
73065,C370y00,Cystic fibrosis with other manifestations,Chronic pulmonary disease
73076,B810700,Carcinoma in situ of vestibular fold,Solid tumour or leukaemia
73085,P10y.00,Other specified spina bifida with hydrocephalus,Other neurological disorders
73107,Cyu1100,[X]Other sp cified hypothyroidism,Hypothyroidism
73139,G852100,Oesophageal varices without bleeding in diseases EC,Liver disease
73164,B808400,Carcinoma in situ of cystic duct,Solid tumour or leukaemia
73213,B581.00,Secondary malignant neoplasm of other urinary organs,Metastatic cancer
73238,Nyu6100,[X]Other specified inflammatory spondylopathies,Rheumatoid arthritis and collagen diseases
73251,BBEM.00,[M]Malignant melanoma in giant pigmented naevus,Solid tumour or leukaemia
73261,ByuFF00,"[X]Melanoma in situ, unspecified",Solid tumour or leukaemia
73275,BB5N100,[M]Adenocarcinoma in adenomatous polposis coli,Solid tumour or leukaemia
73293,G240z00,Secondary malignant hypertension NOS,Hypertension (uncomplicated)
73295,E100.11,Schizophrenia simplex,Psychoses
73296,Byu3100,"[X]Malignant neoplasm/bones+articular cartilage/limb,unspfd",Solid tumour or leukaemia
73337,F374100,Polyneuropathy in beriberi,Other neurological disorders
73338,J11y000,Unspecified gastric ulcer without mention of complication,Peptic ulcer disease
73408,SLF7z00,Antiasthmatic poisoning NOS,Chronic pulmonary disease
73414,H44z.00,Pneumopathy due to inhalation of other dust NOS,Chronic pulmonary disease
73417,J120400,Acute duodenal ulcer with obstruction,Peptic ulcer disease
73423,E117300,"Unspecified bipolar affective disorder, severe, no psychosis",Psychoses
73434,BB5L300,[M]Adenocarcinoma in multiple adenomatous polyps,Solid tumour or leukaemia
73439,B064z00,Malignant neoplasm of anterior epiglottis NOS,Solid tumour or leukaemia
73448,E245200,"Hallucinogen dependence, episodic",Drug abuse
73482,J615D00,Bacterial portal cirrhosis,Liver disease
73485,M210000,Unspecified circumscribed scleroderma,Rheumatoid arthritis and collagen diseases
73510,B550500,Malignant neoplasm of supraclavicular fossa NOS,Solid tumour or leukaemia
73522,173d.00,Work aggravated asthma,Chronic pulmonary disease
73530,B305.00,Malignant neoplasm of hand bones,Solid tumour or leukaemia
73532,B613300,"Hodgkin's, lymphocytic-histiocytic pred intra-abdominal node",Lymphoma
73536,B327000,Malignant melanoma of hip,Solid tumour or leukaemia
73538,B563z00,Secondary and unspec malig neop axilla and upper limb LN NOS,Metastatic cancer
73542,F255300,Visceral reflex epilepsy,Other neurological disorders
73556,B305z00,Malignant neoplasm of hand bones NOS,Solid tumour or leukaemia
73569,L43z.00,Obstetric pulmonary embolism NOS,Pulmonary circulation disorders
73583,F14y000,Ataxia-telangiectasia,Other neurological disorders
73584,F14y100,Corticostriatal-spinal degeneration,Other neurological disorders
73592,P651.00,Fused commissure of the mitral valve,Valvular disease
73599,G42z.00,Other pulmonary circulation disease NOS,Pulmonary circulation disorders
73608,P117z00,Spina bifida without hydrocephalus - open NOS,Other neurological disorders
73614,B004000,"Malignant neoplasm of lip unspecified, buccal aspect",Solid tumour or leukaemia
73616,B58y200,Secondary malignant neoplasm of cervix uteri,Metastatic cancer
73619,N040G00,Rheumatoid arthritis of subtalar joint,Rheumatoid arthritis and collagen diseases
73624,L431100,Amniotic fluid pulmonary embolism - delivered,Pulmonary circulation disorders
73662,BB5Wz00,[M]Oxyphilic adenoma or adenocarcinoma NOS,Solid tumour or leukaemia
73697,J11y400,Unspecified gastric ulcer with obstruction,Peptic ulcer disease
73737,E248z00,Combined opioid with other drug dependence NOS,Drug abuse
73744,B322z00,Malignant melanoma of ear and external auricular canal NOS,Solid tumour or leukaemia
73754,ZVu6e00,[X]Presence of other heart valve replacement,Valvular disease
73760,B334z00,Malignant neoplasm of scalp or skin of neck NOS,Solid tumour or leukaemia
73777,B624z00,Leukaemic reticuloendotheliosis NOS,Lymphoma
73788,S114500,Closed spinal fracture with cauda equina lesion,Paralysis
73876,U60H300,[X]Alcohol deterrents caus adverse effects in therapeut use,Alcohol abuse
73879,U606600,[X]Oth unspec antiepileptics caus adverse eff in therap use,Other neurological disorders
73901,Gyu6.00,[X]Cerebrovascular diseases,Other neurological disorders
73904,7910214,Edwards prosthetic replacement of mitral valve,Valvular disease
73916,BBK0400,[M]Epithelioid leiomyosarcoma,Solid tumour or leukaemia
73924,Eu31y11,[X]Bipolar II disorder,Psychoses
73943,F137.11,Athetoid cerebral palsy,Paralysis
73961,Gyu7400,[X]Other specified peripheral vascular diseases,Peripheral vascular disease
73962,B000.00,"Malignant neoplasm of upper lip, vermilion border",Solid tumour or leukaemia
73967,7913y00,Other specified plastic repair of pulmonary valve,Valvular disease
73988,B524500,Malignant neoplasm of peripheral nerve of pelvis,Solid tumour or leukaemia
73991,Eu33214,"[X]Vital depression, recurrent without psychotic symptoms",Depression
73992,B504.00,Malignant neoplasm of cornea,Solid tumour or leukaemia
74896,B161z00,Malignant neoplasm of extrahepatic bile ducts NOS,Solid tumour or leukaemia
74905,Z1A2.00,Haemodialysis training,Renal disease
78442,1T8..00,H/O cannabis misuse,Drug abuse
81441,1T2..00,H/O ecstasy misuse,Drug abuse
82469,7936J00,Implantat intravenous biventricular cardiac pacemaker system,Cardiac arrythmia
82471,1T5..00,H/O cocaine misuse,Drug abuse
82474,8Hl4.00,Referral to community diabetes specialist nurse,Diabetes (uncomplicated)
82476,1T83.00,Previous history of cannabis misuse,Drug abuse
82479,1T0..00,H/O heroin misuse,Drug abuse
83473,G203.00,Diastolic hypertension,Hypertension (uncomplicated)
83502,662p.00,Heart failure 6 month review,Congestive heart failure
83513,7L1C.00,Placement other apparatus for compensation for renal failure,Renal disease
83527,7A1B300,Endovascular stenting of aortic dissection in any position,Peripheral vascular disease
83532,66Ao.00,Diabetes type 2 review,Diabetes (uncomplicated)
83560,7936H00,Implantat intravenous dual chamber cardiac pacemaker system,Cardiac arrythmia
83564,1T82.00,H/O infrequent cannabis misuse,Drug abuse
83574,1T43.00,Previous history of amphetamine misuse,Drug abuse
83576,9Ou2.00,Dementia monitoring second letter,Other neurological disorders
83577,7A1C000,Endovas ins stent graft for infrarenal abdom aortic aneurysm,Peripheral vascular disease
84152,793M100,Perc transluminal ablation of atrial wall for atrial flutter,Cardiac arrythmia
84156,1T53.00,Previous history of cocaine misuse,Drug abuse
84215,1T9..00,H/O solvent misuse,Drug abuse
84368,B565000,Secondary and unspec malig neop internal iliac lymph nodes,Metastatic cancer
85091,1T50.00,H/O daily cocaine misuse,Drug abuse
85096,1T4..00,H/O amphetamine misuse,Drug abuse
85097,1T1..00,H/O methadone misuse,Drug abuse
85102,212V.00,Bipolar affective disorder resolved,Psychoses
85659,K0A2800,IgA nephropathy,Renal disease
85660,66An.00,Diabetes type 1 review,Diabetes (uncomplicated)
85661,9Oj4.00,Hypothyroidism monitoring telephone invitation,Hypothyroidism
85671,1T63.00,Previous history of crack cocaine misuse,Drug abuse
85834,1T3..00,H/O benzodiazepine misuse,Drug abuse
85853,9Ou..00,Dementia monitoring administration,Other neurological disorders
85856,7910411,Mitral valve repair NEC,Valvular disease
85955,8CR5.00,Hypothyroidism clinical management plan,Hypothyroidism
85956,1T...00,History of substance misuse,Drug abuse
85957,7919600,Percutaneous transluminal pulmonary valve replacement,Valvular disease
85972,212X.00,Psychosis resolved,Psychoses
85989,J126.00,Non steroidal anti inflammatory drug induced duodenal ulcer,Peptic ulcer disease
85991,C10FM11,Type II diabetes mellitus with persistent microalbuminuria,Diabetes with end-organ damage
86002,1T00.00,H/O daily heroin misuse,Drug abuse
86035,1T6..00,H/O crack cocaine misuse,Drug abuse
86036,1TD..00,H/O opiate misuse,Drug abuse
86046,B524400,Malignant neoplasm of peripheral nerve of abdomen,Solid tumour or leukaemia
86062,Fyu2200,[X]Parkinsonism in diseases classified elsewhere,Other neurological disorders
86065,7A5Bz00,Other transluminal embolisation of aneurysm NOS,Peripheral vascular disease
86337,7P19y00,Other specified pacemaker testing,Cardiac arrythmia
86416,793M300,Perc translum ablat conduct sys heart for atrial flutter NEC,Cardiac arrythmia
86419,4N2..00,Dialysis fluid glucose level,Renal disease
86754,1T80.00,H/O daily cannabis misuse,Drug abuse
86771,1T13.00,Previous history of methadone misuse,Drug abuse
86812,B305D00,Malignant neoplasm of phalanges of hand,Solid tumour or leukaemia
86820,BBP7.00,"[M]Mesothelioma, biphasic type, malignant",Solid tumour or leukaemia
86996,B501000,Malignant neoplasm of connective tissue of orbit,Solid tumour or leukaemia
86997,Byu2400,[X]Malignant neoplasm/ill-defined sites within resp system,Solid tumour or leukaemia
87002,1T52.00,H/O infrequent cocaine misuse,Drug abuse
87003,BBLC100,"[M]Mesenchymoma, malignant",Solid tumour or leukaemia
87113,B54X.00,"Malignant neoplasm-pluriglandular involvement,unspecified",Solid tumour or leukaemia
87502,1T81.00,H/O weekly cannabis misuse,Drug abuse
87505,E247.11,Absinthe addiction,Drug abuse
88022,ByuC400,[X]Secondary malignant neoplasm/oth+unspcfd digestive organs,Metastatic cancer
88144,B52y.00,Malignant neoplasm of other specified part of nervous system,Solid tumour or leukaemia
88275,212W.00,Schizophrenia resolved,Psychoses
88362,B08y.00,Malignant neoplasm of other specified hypopharyngeal site,Solid tumour or leukaemia
88372,1T02.00,Previous history of heroin misuse,Drug abuse
88479,7902500,Repair of tetralogy of Fallot with absent pulmonary valve,Valvular disease
88494,9Ot3.00,Chronic kidney disease monitoring verbal invite,Renal disease
88597,7L1A400,Automated peritoneal dialysis,Renal disease
88739,ZV45M00,[V]Biventricular pacemaker in situ,Cardiac arrythmia
88760,1TD0.00,H/O daily opiate misuse,Drug abuse
88781,1T42.00,H/O infrequent amphetamine misuse,Drug abuse
88782,1T41.00,H/O weekly amphetamine misuse,Drug abuse
88785,7P19z00,Pacemaker testing NOS,Cardiac arrythmia
88788,7A59.00,Transluminal balloon assisted coil embolisation of aneurysm,Peripheral vascular disease
88844,1T62.00,H/O infrequent crack cocaine misuse,Drug abuse
88990,1T60.00,H/O daily crack cocaine misuse,Drug abuse
88994,7L1f.00,Compensation for liver failure,Liver disease
89023,J113.00,Non steroidal anti inflammatory drug induced gastric ulcer,Peptic ulcer disease
89036,9Ou3.00,Dementia monitoring third letter,Other neurological disorders
89037,9Ou4.00,Dementia monitoring verbal invite,Other neurological disorders
89038,7936G00,Implantat intraven single chamber cardiac pacemaker system,Cardiac arrythmia
89145,1T03.00,H/O infrequent heroin misuse,Drug abuse
89205,43h9.00,HIV proviral deoxyribonucleic acid polymerase chain reaction,HIV/AIDS
89206,H423.00,Massive silicotic fibrosis,Chronic pulmonary disease
89227,J112z00,Anti-platelet induced gastric ulcer NOS,Peptic ulcer disease
89230,BBj9.00,[M]Hodgkin's granuloma,Lymphoma
89234,J125.00,Anti-platelet induced duodenal ulcer,Peptic ulcer disease
89238,7A0B000,Pulmonary thromboendarterectomy,Pulmonary circulation disorders
89258,B524200,"Malignant neoplasm of peripheral nerve of low limb, incl hip",Solid tumour or leukaemia
89445,7800111,Auxillary liver transplant,Liver disease
89456,7A5B.00,Other transluminal embolisation of aneurysm,Peripheral vascular disease
89459,791D100,Pulmonary valvectomy,Valvular disease
89470,7A45700,Emerg replace aneurysm pop art by pop/tib anast c vein graft,Peripheral vascular disease
89579,G54z014,Insufficiency of unspecified heart valve,Valvular disease
89587,A704z00,Other specified viral hepatitis with hepatic coma NOS,Liver disease
89593,B151200,Malignant neoplasm of intrahepatic biliary passages,Solid tumour or leukaemia
89650,9Or5.00,Heart failure monitoring third letter,Congestive heart failure
89698,1T23.00,Previous history of ecstasy misuse,Drug abuse
89713,U606.11,[X] Adverse react to anticonvulsants & anti-parkinsons drugs,Other neurological disorders
89714,7A1C300,Endov ins stent graft for aortic dissection in any position,Peripheral vascular disease
89909,B003200,"Malignant neoplasm of lower lip, mucosa",Solid tumour or leukaemia
89916,B553100,Malignant neoplasm of presacral region,Solid tumour or leukaemia
89930,1T93.00,Previous history of solvent misuse,Drug abuse
89936,7913100,Xenograft replacement of pulmonary valve,Valvular disease
89967,7937700,Implantation of single chamber cardiac pacemaker system,Cardiac arrythmia
90109,1T51.00,H/O weekly cocaine misuse,Drug abuse
90124,B067.00,Malignant neoplasm of posterior wall of oropharynx,Solid tumour or leukaemia
90187,9Os0.00,Atrial fibrillation monitoring first letter,Cardiac arrythmia
90188,9Os1.00,Atrial fibrillation monitoring second letter,Cardiac arrythmia
90189,9Os2.00,Atrial fibrillation monitoring third letter,Cardiac arrythmia
90190,9Os3.00,Atrial fibrillation monitoring verbal invite,Cardiac arrythmia
90191,9Os4.00,Atrial fibrillation monitoring telephone invite,Cardiac arrythmia
90192,9Or2.00,Heart failure monitoring verbal invite,Congestive heart failure
90193,9Or1.00,Heart failure monitoring telephone invite,Congestive heart failure
90201,B62x000,T-zone lymphoma,Lymphoma
90271,1T61.00,H/O weekly crack cocaine misuse,Drug abuse
90290,B18y700,Malignant neoplasm of mesentery,Solid tumour or leukaemia
90339,B826z00,Carcinoma in situ of skin of upper limb or shoulder NOS,Solid tumour or leukaemia
90442,1T22.00,H/O infrequent ecstasy misuse,Drug abuse
90482,P103z11,Thoracolumbar spina bifida with hydrocephalus - closed,Other neurological disorders
90520,Fyu9000,[X]Other infantile cerebral palsy,Paralysis
90551,P650.00,"Congenital mitral stenosis, unspecified",Valvular disease
90572,Gyu6500,[X]Occlusion and stenosis of other precerebral arteries,Other neurological disorders
90610,B002300,"Malignant neoplasm of upper lip, oral aspect",Solid tumour or leukaemia
90659,B54y.00,Malignant neoplasm of other specified endocrine gland,Solid tumour or leukaemia
90664,1T40.00,H/O daily amphetamine misuse,Drug abuse
90861,7A1Bz00,Transluminal operations on aneurysmal segment of aorta NOS,Peripheral vascular disease
90875,7Q01300,Primary pulmonary hypertension drugs Band 4,Pulmonary circulation disorders
90935,9hH..00,Exception reporting: heart failure quality indicators,Congestive heart failure
91029,1TD2.00,H/O infrequent opiate misuse,Drug abuse
91035,B010z00,Malignant neoplasm of fixed part of tongue NOS,Solid tumour or leukaemia
91037,B06yz00,Malignant neoplasm of other specified site of oropharynx NOS,Solid tumour or leukaemia
91084,7A34D00,Operation on aneurysm of superior mesenteric artery NEC,Peripheral vascular disease
91105,9Ov2.00,Depression monitoring third letter,Depression
91164,ZRB4.11,CSQ - Diabetes clinic satisfaction questionnaire,Diabetes (uncomplicated)
91240,B517300,Malignant neoplasm of pons,Solid tumour or leukaemia
91256,1TD3.00,Previous history of opiate misuse,Drug abuse
91260,E249000,"Combined drug dependence, excluding opioid, unspecified",Drug abuse
91272,L440300,Puerperal cerebrovascular disorder with antenatal comp,Other neurological disorders
91277,9HC5.00,Substance misuse treatment programme completed,Drug abuse
91288,8Hg8.00,Discharge from practice nurse heart failure clinic,Congestive heart failure
91457,Byu5900,"[X]Malignant neoplasm/connective + soft tissue,unspecified",Solid tumour or leukaemia
91462,7A1C200,Endov insertion of stent graft for thoracic aortic aneurysm,Peripheral vascular disease
91509,B471z00,Malignant neoplasm of descended testis NOS,Solid tumour or leukaemia
91511,Eu21.11,[X]Latent schizophrenic reaction,Psychoses
91547,Eu20311,[X]Atypical schizophrenia,Psychoses
91559,N003100,Dermatopolymyositis in neoplastic disease,Rheumatoid arthritis and collagen diseases
91586,B311400,Malignant neoplasm of connective and soft tissue of finger,Solid tumour or leukaemia
91591,J616200,Biliary cirrhosis of children,Liver disease
91627,Gyu6300,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Other neurological disorders
91646,C10F411,Type II diabetes mellitus with ulcer,Diabetes with end-organ damage
91674,B621300,Mycosis fungoides of intra-abdominal lymph nodes,Lymphoma
91738,K0A5600,"Hereditary nephropathy, NEC, dense deposit disease",Renal disease
91801,Eu11z00,[X]Ment & behav dis due use opioids: unsp ment & behav dis,Drug abuse
91802,7919500,Percutaneous transluminal pulmonary valve perfor dilation,Valvular disease
91842,BB69z00,[M]Sebaceous adenoma or adenocarcinoma NOS,Solid tumour or leukaemia
91843,B003100,"Malignant neoplasm of lower lip, frenulum",Solid tumour or leukaemia
91848,1T33.00,Previous history of benzodiazepine misuse,Drug abuse
91887,7A5By00,Other specified other transluminal embolisation of aneurysm,Peripheral vascular disease
91895,B064100,Malignant neoplasm of glossoepiglottic fold,Solid tumour or leukaemia
91900,B61z400,Hodgkin's disease NOS of lymph nodes of axilla and arm,Lymphoma
91912,Hyu5100,[X]Other specified interstitial pulmonary diseases,Chronic pulmonary disease
91939,9HC4.00,Substance misuse treatment withdrawn,Drug abuse
91942,C10E311,Type I diabetes mellitus with multiple complications,Diabetes with end-organ damage
91943,C10EC11,Type I diabetes mellitus with polyneuropathy,Diabetes with end-organ damage
91989,H35y000,Cheese-washers' lung,Chronic pulmonary disease
92036,Gyu6600,[X]Occlusion and stenosis of other cerebral arteries,Other neurological disorders
92068,B620300,Nodular lymphoma of intra-abdominal lymph nodes,Lymphoma
92070,7911411,Aortic valve repair NEC,Valvular disease
92106,D01yz00,Other specified nutritional deficiency anaemia NOS,Deficiency anaemia
92109,9NI8.00,Asthma outreach clinic,Chronic pulmonary disease
92226,791D000,Tricuspid valvectomy,Valvular disease
92232,1T30.00,H/O daily benzodiazepine misuse,Drug abuse
92245,B613200,"Hodgkin's, lymphocytic-histiocytic pred intrathoracic nodes",Lymphoma
92291,Eu16z00,[X]Ment/behav dis due use hallucinogens: unsp ment/behav dis,Drug abuse
92293,BBES.00,"[M]Spindle cell melanoma, type B",Solid tumour or leukaemia
92297,A932200,Syphilitic endocarditis of aortic valve,Valvular disease
92329,B48yz00,Malignant neoplasm of other male genital organ NOS,Solid tumour or leukaemia
92341,R20z.00,"[D]Senility, without psychosis NOS",Psychoses
92353,E245000,"Hallucinogen dependence, unspecified",Drug abuse
92359,1T21.00,H/O weekly ecstasy misuse,Drug abuse
92371,B304300,Malignant neoplasm of radius,Solid tumour or leukaemia
92380,B602500,Burkitt's lymphoma of lymph nodes of inguinal region and leg,Lymphoma
92382,B308B00,Malignant neoplasm of fourth metatarsal bone,Solid tumour or leukaemia
92404,1T10.00,H/O daily methadone misuse,Drug abuse
92694,F037000,Varicella transverse myelitis,Other neurological disorders
92695,7612111,Balfour excision of gastric ulcer,Peptic ulcer disease
92703,B560400,Secondary and unspec malig neop deep parotid lymph nodes,Metastatic cancer
92720,B243.00,Malignant neoplasm of posterior mediastinum,Solid tumour or leukaemia
92886,SJ24000,Closed injury cauda equina,Paralysis
